Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,4.202743,4.158749,4.115298,4.062138,4.011975,4.000837,4.000016,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,4.011126,4.035056,4.052592,4.060552,4.030662,4.004447,4.000147,4.000001 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,3.819437,3.863844,3.908876,3.965544,4.015450,4.006910,4.000418,4.000004 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,3.588496,3.659573,3.734741,3.838232,3.969057,4.003592,4.000631,4.000010 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,3.394701,3.474663,3.563730,3.696704,3.898184,3.991774,4.000449,4.000016 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,3.346500,3.405450,3.477155,3.597630,3.821428,3.971337,3.999505,4.000015 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,3.210471,3.287844,3.375464,3.511970,3.752145,3.944923,3.997537,3.999998 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,3.174350,3.234567,3.308441,3.434904,3.684437,3.914172,3.994394,3.999951 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,3.002813,3.092293,3.192611,3.347325,3.620233,3.880630,3.990007,3.999863 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,2.348874,2.559398,2.780354,3.086491,3.518690,3.842056,3.984294,3.999719 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,1.991274,2.182290,2.404138,2.754975,3.348937,3.789922,3.976883,3.999505 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,1.921418,2.061577,2.239642,2.552039,3.172761,3.722679,3.967196,3.999199 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,3.016129,2.870578,2.770720,2.751808,3.084159,3.650439,3.954943,3.998774 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,5.733463,5.093880,4.484290,3.782276,3.277863,3.604879,3.940868,3.998208 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,11.587328,10.027467,8.433425,6.357326,4.048439,3.647289,3.927871,3.997501 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,18.260522,16.045123,13.656687,10.264519,5.634435,3.869374,3.922336,3.996704 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,24.741526,22.073051,19.109615,14.689600,7.908988,4.341941,3.933914,3.995963 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,29.899482,27.123452,23.943611,18.976149,10.595451,5.086326,3.973417,3.995533 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,32.459335,30.021169,27.111357,22.299430,13.297094,6.067937,4.050347,3.995779 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,26.836633,26.259096,25.168935,22.532714,15.288278,7.177060,4.170091,3.997136 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,21.211994,21.318100,21.152727,20.182701,15.859504,8.204475,4.329809,4.000043 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,19.854680,19.590717,19.221735,18.400140,15.582958,9.006534,4.518685,4.004845 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,16.403045,16.751822,16.965261,16.861133,15.090678,9.581669,4.724446,4.011750 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,12.978220,13.581191,14.144754,14.695323,14.251106,9.938799,4.936270,4.020845 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,10.301516,10.997910,11.716251,12.622090,13.171490,10.083875,5.144182,4.032104 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,8.510397,9.160782,9.875369,10.890539,12.030156,10.045948,5.339784,4.045401 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,7.637482,8.150902,8.744733,9.661665,10.985114,9.871398,5.517038,4.060541 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,6.863166,7.346595,7.901833,8.763470,10.107703,9.611981,5.672578,4.077281 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,6.083214,6.560199,7.108675,7.964958,9.352694,9.305944,5.805233,4.095360 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,5.439206,5.890710,6.416670,7.254258,8.679461,8.975715,5.915136,4.114519 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,4.844904,5.285690,5.800427,6.626079,8.073736,8.635586,6.003159,4.134506 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,4.360225,4.776767,5.268402,6.069543,7.523633,8.294789,6.070597,4.155085 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,3.969974,4.360991,4.825970,5.593073,7.027890,7.959908,6.118984,4.176039 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,3.712274,4.064342,4.488848,5.202828,6.587720,7.636209,6.150003,4.197169 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,3.609772,3.910427,4.279873,4.917296,6.210277,7.328654,6.165442,4.218300 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,3.604697,3.850494,4.162821,4.719896,5.898685,7.042082,6.167188,4.239275 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,5.051286,4.928570,4.877711,4.988537,5.720036,6.784772,6.157268,4.259964 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,7.025552,6.673333,6.329488,5.943181,5.851847,6.586657,6.138516,4.280260 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,10.998750,9.976674,8.950019,7.653513,6.356326,6.484355,6.115168,4.300101 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,15.258751,13.868406,12.367034,10.237277,7.389795,6.527305,6.093133,4.319480 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,13.715496,13.337850,12.729091,11.439923,8.544385,6.732095,6.079560,4.338465 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,16.463463,15.308618,14.075232,12.287511,9.363417,7.023433,6.079097,4.357186 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,22.284024,20.281660,18.130775,15.055923,10.546010,7.397010,6.094164,4.375802 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,20.656083,19.918550,18.843836,16.707756,11.996866,7.898276,6.128880,4.394509 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,19.734744,19.070431,18.215778,16.625920,12.877372,8.450815,6.185867,4.413537 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,18.532362,18.126874,17.552064,16.380187,13.347536,8.972214,6.263423,4.433116 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,17.777943,17.413074,16.929719,15.987255,13.535123,9.423349,6.357616,4.453434 
11/04/2014 18:00,735700.750000,2.000000,1,1,1,13.305577,13.917591,14.383179,14.600153,13.393756,9.781210,6.463625,4.474631 
11/04/2014 19:00,735700.791667,2.041667,1,1,1,10.024879,10.733819,11.452173,12.317313,12.650628,9.987863,6.574990,4.496783 
11/04/2014 20:00,735700.833333,2.083333,1,1,1,8.446496,9.029918,9.678653,10.611869,11.664978,10.019859,6.683726,4.519884 
11/04/2014 21:00,735700.875000,2.125000,1,1,1,7.592664,8.079379,8.638307,9.496780,10.745696,9.912599,6.783115,4.543849 
11/04/2014 22:00,735700.916667,2.166667,1,1,1,6.861805,7.318202,7.843740,8.663486,9.965611,9.715243,6.868988,4.568536 
11/04/2014 23:00,735700.958333,2.208333,1,1,1,6.458747,6.838417,7.289705,8.025630,9.308084,9.465787,6.939351,4.593778 
12/04/2014 00:00,735701.000000,2.250000,1,1,1,5.936107,6.324460,6.775548,7.496039,8.757103,9.191674,6.993726,4.619398 
12/04/2014 01:00,735701.041667,2.291667,1,1,1,5.396252,5.785612,6.239741,6.968798,8.261500,8.907938,7.032545,4.645222 
12/04/2014 02:00,735701.083333,2.333333,1,1,1,4.993471,5.357479,5.789023,6.497252,7.804039,8.621593,7.056621,4.671086 
12/04/2014 03:00,735701.125000,2.375000,1,1,1,4.748378,5.073602,5.465441,6.123663,7.394683,8.338526,7.066977,4.696837 
12/04/2014 04:00,735701.166667,2.416667,1,1,1,4.545421,4.846995,5.210899,5.825691,7.039289,8.064769,7.064835,4.722338 
12/04/2014 05:00,735701.208333,2.458333,1,1,1,4.326502,4.617862,4.968051,5.557897,6.726893,7.804295,7.051553,4.747465 
12/04/2014 06:00,735701.250000,2.500000,1,1,1,4.102312,4.378172,4.715652,5.291488,6.440444,7.557977,7.028486,4.772111 
12/04/2014 07:00,735701.291667,2.541667,1,1,1,5.366284,5.290991,5.287978,5.459393,6.248352,7.329889,6.996964,4.796186 
12/04/2014 08:00,735701.333333,2.583333,1,1,1,7.770483,7.329070,6.910881,6.460104,6.368158,7.150008,6.959088,4.819617 
12/04/2014 09:00,735701.375000,2.625000,1,1,1,9.906230,9.308915,8.673349,7.805387,6.830348,7.058735,6.918584,4.842367 
12/04/2014 10:00,735701.416667,2.666667,1,1,1,11.371573,10.751798,10.057416,9.017234,7.475242,7.072070,6.880119,4.864447 
12/04/2014 11:00,735701.458333,2.708333,1,1,1,16.268761,14.777865,13.225288,11.114219,8.360430,7.192593,6.848207,4.885915 
12/04/2014 12:00,735701.500000,2.750000,1,1,1,19.039430,17.671416,16.099269,13.652868,9.690280,7.458430,6.828196,4.906883 
12/04/2014 13:00,735701.541667,2.791667,1,1,1,23.275266,21.402020,19.327739,16.216620,11.217066,7.877017,6.826114,4.927527 
12/04/2014 14:00,735701.583333,2.833333,1,1,1,27.187149,25.134383,22.798878,19.169219,13.016353,8.451937,6.847626,4.948080 
12/04/2014 15:00,735701.625000,2.875000,1,1,1,24.244908,23.551756,22.473244,20.186438,14.640670,9.157956,6.897725,4.968833 
12/04/2014 16:00,735701.666667,2.916667,1,1,1,24.297407,23.297658,22.106102,20.059051,15.534535,9.875878,6.977161,4.990101 
12/04/2014 17:00,735701.708333,2.958333,1,1,1,22.271455,21.866526,21.232375,19.841731,16.084130,10.537042,7.082322,5.012172 
12/04/2014 18:00,735701.750000,3.000000,1,1,1,15.457320,16.409205,17.158583,17.581641,15.962103,11.081770,7.207511,5.035279 
12/04/2014 19:00,735701.791667,3.041667,1,1,1,10.533620,11.644616,12.776940,14.166884,14.884026,11.402305,7.343231,5.059564 
12/04/2014 20:00,735701.833333,3.083333,1,1,1,8.004766,8.962261,10.026607,11.567254,13.418818,11.459453,7.477329,5.085048 
12/04/2014 21:00,735701.875000,3.125000,1,1,1,6.513306,7.350031,8.310043,9.789340,12.018229,11.302169,7.599394,5.111627 
12/04/2014 22:00,735701.916667,3.166667,1,1,1,5.485410,6.232014,7.103501,8.491046,10.811359,11.001783,7.702703,5.139111 
12/04/2014 23:00,735701.958333,3.208333,1,1,1,4.698349,5.378919,6.181352,7.483676,9.794926,10.617773,7.783872,5.167263 
13/04/2014 00:00,735702.000000,3.250000,1,1,1,3.966288,4.617603,5.385934,6.639462,8.929250,10.191625,7.841878,5.195830 
13/04/2014 01:00,735702.041667,3.291667,1,1,1,3.542655,4.113237,4.801548,5.958048,8.181629,9.749572,7.877160,5.224560 
13/04/2014 02:00,735702.083333,3.333333,1,1,1,3.029895,3.594918,4.267446,5.384684,7.540278,9.310023,7.891056,5.253216 
13/04/2014 03:00,735702.125000,3.375000,1,1,1,2.770039,3.264874,3.868418,4.900848,6.975761,8.883192,7.885400,5.281579 
13/04/2014 04:00,735702.166667,3.416667,1,1,1,2.538879,3.001684,3.564286,4.527136,6.492670,8.476547,7.862257,5.309456 
13/04/2014 05:00,735702.208333,3.458333,1,1,1,2.429899,2.840805,3.347292,4.229248,6.078823,8.094997,7.823820,5.336680 
13/04/2014 06:00,735702.250000,3.500000,1,1,1,2.310523,2.688591,3.158244,3.981507,5.725278,7.741209,7.772287,5.363106 
13/04/2014 07:00,735702.291667,3.541667,1,1,1,3.457022,3.513241,3.669839,4.113691,5.480007,7.419500,7.709828,5.388619 
13/04/2014 08:00,735702.333333,3.583333,1,1,1,6.360756,5.871559,5.461042,5.138348,5.545397,7.156020,7.639210,5.413127 
13/04/2014 09:00,735702.375000,3.625000,1,1,1,12.613416,11.129515,9.651973,7.831345,6.243102,7.011148,7.565093,5.436583 
13/04/2014 10:00,735702.416667,3.666667,1,1,1,19.767952,17.569776,15.224797,11.964048,7.827972,7.079247,7.495580,5.459011 
13/04/2014 11:00,735702.458333,3.708333,1,1,1,25.890347,23.390024,20.600030,16.428126,10.121723,7.430460,7.441990,5.480547 
13/04/2014 12:00,735702.500000,3.750000,1,1,1,29.773368,27.400535,24.640800,20.250228,12.698071,8.067748,7.416204,5.501452 
13/04/2014 13:00,735702.541667,3.791667,1,1,1,33.074658,30.684068,27.889608,23.378441,15.197201,8.933107,7.427619,5.522099 
13/04/2014 14:00,735702.583333,3.833333,1,1,1,35.036407,32.851318,30.239412,25.886113,17.499631,9.955168,7.481923,5.542933 
13/04/2014 15:00,735702.625000,3.875000,1,1,1,33.658836,32.251486,30.408235,26.988551,19.359396,11.052762,7.581075,5.564429 
13/04/2014 16:00,735702.666667,3.916667,1,1,1,24.278444,24.997831,25.315332,24.687854,20.119880,12.091773,7.722024,5.587047 
13/04/2014 17:00,735702.708333,3.958333,1,1,1,16.733705,17.982757,19.135235,20.229810,19.289217,12.865820,7.893647,5.611158 
13/04/2014 18:00,735702.750000,4.000000,1,1,1,11.597824,12.952557,14.369063,16.204050,17.572437,13.264861,8.078512,5.636961 
13/04/2014 19:00,735702.791667,4.041667,1,1,1,8.625815,9.831276,11.176351,13.144536,15.637336,13.310023,8.259327,5.664462 
13/04/2014 20:00,735702.833333,4.083333,1,1,1,6.881802,7.921067,9.120559,10.986015,13.860566,13.087338,8.422935,5.693506 
13/04/2014 21:00,735702.875000,4.125000,1,1,1,5.718693,6.633752,7.707429,9.430087,12.357105,12.691840,8.561277,5.723832 
13/04/2014 22:00,735702.916667,4.166667,1,1,1,4.641575,5.512990,6.534690,8.183454,11.099092,12.198887,8.670561,5.755126 
13/04/2014 23:00,735702.958333,4.208333,1,1,1,3.733457,4.552788,5.522125,7.108508,10.014675,11.657152,8.749835,5.787058 
14/04/2014 00:00,735703.000000,4.250000,1,1,1,2.985922,3.758098,4.677035,6.197195,9.066078,11.096866,8.799820,5.819301 
14/04/2014 01:00,735703.041667,4.291667,1,1,1,2.197224,2.961950,3.869201,5.367716,8.220488,10.536957,8.822197,5.851547 
14/04/2014 02:00,735703.083333,4.333333,1,1,1,1.653040,2.359372,3.209732,4.641395,7.453252,9.987531,8.819113,5.883514 
14/04/2014 03:00,735703.125000,4.375000,1,1,1,1.069031,1.766329,2.600903,4.000114,6.763245,9.455938,8.792925,5.914945 
14/04/2014 04:00,735703.166667,4.416667,1,1,1,0.911328,1.501628,2.231303,3.502789,6.147732,8.946908,8.746077,5.945616 
14/04/2014 05:00,735703.208333,4.458333,1,1,1,0.030865,0.740203,1.572959,2.938026,5.591770,8.464847,8.681068,5.975328 
14/04/2014 06:00,735703.250000,4.500000,1,1,1,-0.461579,0.190138,0.982898,2.327398,5.027631,8.003303,8.600123,6.003911 
14/04/2014 07:00,735703.291667,4.541667,1,1,1,-0.087490,0.361057,0.951262,2.049717,4.535803,7.561647,8.505112,6.031220 
14/04/2014 08:00,735703.333333,4.583333,1,1,1,1.709292,1.758038,1.929399,2.464391,4.276885,7.159529,8.398295,6.057131 
14/04/2014 09:00,735703.375000,4.625000,1,1,1,5.263348,4.719159,4.253035,3.883006,4.446396,6.839763,8.283309,6.081554 
14/04/2014 10:00,735703.416667,4.666667,1,1,1,9.377204,8.397248,7.402535,6.155893,5.166451,6.659844,8.165937,6.104456 
14/04/2014 11:00,735703.458333,4.708333,1,1,1,16.289769,14.332988,12.305146,9.605470,6.501827,6.672699,8.054016,6.125877 
14/04/2014 12:00,735703.500000,4.750000,1,1,1,21.683486,19.555258,17.187455,13.672433,8.522618,6.938034,7.957456,6.145958 
14/04/2014 13:00,735703.541667,4.791667,1,1,1,26.821833,24.401908,21.678912,17.530204,10.882901,7.468035,7.887016,6.164950 
14/04/2014 14:00,735703.583333,4.833333,1,1,1,25.202571,24.045106,22.470082,19.489492,13.092083,8.216444,7.851717,6.183212 
14/04/2014 15:00,735703.625000,4.875000,1,1,1,20.289674,20.213887,19.834305,18.573729,14.288424,9.028687,7.854949,6.201156 
14/04/2014 16:00,735703.666667,4.916667,1,1,1,23.367341,22.061167,20.661184,18.588729,14.778157,9.753678,7.892323,6.219179 
14/04/2014 17:00,735703.708333,4.958333,1,1,1,13.959735,15.269605,16.278880,16.830395,14.967380,10.376370,7.957182,6.237600 
14/04/2014 18:00,735703.750000,5.000000,1,1,1,7.406050,8.915331,10.472511,12.441722,13.806900,10.763407,8.039848,6.256652 
14/04/2014 19:00,735703.791667,5.041667,1,1,1,4.083944,5.428045,6.928110,9.132939,12.040862,10.832412,8.125769,6.276423 
14/04/2014 20:00,735703.833333,5.083333,1,1,1,2.220483,3.384113,4.735686,6.864222,10.301945,10.631823,8.201659,6.296847 
14/04/2014 21:00,735703.875000,5.125000,1,1,1,1.098921,2.117575,3.324319,5.293188,8.805705,10.248818,8.258614,6.317747 
14/04/2014 22:00,735703.916667,5.166667,1,1,1,0.254665,1.183254,2.290806,4.125549,7.568167,9.761318,8.292026,6.338878 
14/04/2014 23:00,735703.958333,5.208333,1,1,1,-0.119937,0.666290,1.628445,3.275219,6.552070,9.225159,8.300440,6.359973 
15/04/2014 00:00,735704.000000,5.250000,1,1,1,-0.272994,0.411033,1.254860,2.718221,5.745970,8.680820,8.284518,6.380767 
15/04/2014 01:00,735704.041667,5.291667,1,1,1,-0.461209,0.167972,0.943406,2.288063,5.103485,8.155126,8.246303,6.401014 
15/04/2014 02:00,735704.083333,5.333333,1,1,1,-0.625976,-0.041847,0.674115,1.923488,4.571116,7.660915,8.188489,6.420496 
15/04/2014 03:00,735704.125000,5.375000,1,1,1,-1.161931,-0.490026,0.262030,1.527633,4.104830,7.201932,8.113890,6.439032 
15/04/2014 04:00,735704.166667,5.416667,1,1,1,-2.028440,-1.272979,-0.379211,0.962953,3.626822,6.771242,8.025008,6.456468 
15/04/2014 05:00,735704.208333,5.458333,1,1,1,-2.822362,-2.076814,-1.193082,0.258713,3.098134,6.355648,7.923662,6.472674 
15/04/2014 06:00,735704.250000,5.500000,1,1,1,-3.165484,-2.479293,-1.627135,-0.122921,2.588680,5.947740,7.811051,6.487539 
15/04/2014 07:00,735704.291667,5.541667,1,1,1,-2.009882,-1.690733,-1.210178,-0.209976,2.213296,5.560328,7.688548,6.500963 
15/04/2014 08:00,735704.333333,5.583333,1,1,1,0.263185,0.013332,-0.081786,0.177386,2.028826,5.211887,7.558186,6.512870 
15/04/2014 09:00,735704.375000,5.625000,1,1,1,6.428342,5.157494,3.964711,2.705012,2.462038,4.955208,7.423428,6.523213 
15/04/2014 10:00,735704.416667,5.666667,1,1,1,13.175739,11.322198,9.369365,6.741544,3.882405,4.903731,7.291742,6.532006 
15/04/2014 11:00,735704.458333,5.708333,1,1,1,20.226743,17.773912,15.108298,11.285449,6.056432,5.136057,7.174458,6.539374 
15/04/2014 12:00,735704.500000,5.750000,1,1,1,26.455439,23.722024,20.650168,16.000245,8.763100,5.679759,7.084159,6.545572 
15/04/2014 13:00,735704.541667,5.791667,1,1,1,30.327701,27.779748,24.798592,20.013869,11.648270,6.513698,7.032508,6.550984 
15/04/2014 14:00,735704.583333,5.833333,1,1,1,28.754129,27.303229,25.384372,21.819141,14.107251,7.548617,7.027646,6.556091 
15/04/2014 15:00,735704.625000,5.875000,1,1,1,26.050244,25.215381,24.033524,21.637790,15.609520,8.622943,7.071012,6.561419 
15/04/2014 16:00,735704.666667,5.916667,1,1,1,22.256913,22.072959,21.632099,20.383562,16.218453,9.594442,7.156998,6.567449 
15/04/2014 17:00,735704.708333,5.958333,1,1,1,16.848957,17.456101,17.899595,17.993074,15.998101,10.365731,7.275377,6.574569 
15/04/2014 18:00,735704.750000,6.000000,1,1,1,9.936218,11.392305,12.799433,14.389215,14.926983,10.860678,7.412926,6.583026 
15/04/2014 19:00,735704.791667,6.041667,1,1,1,5.277681,6.770399,8.383709,10.633339,13.174167,11.028505,7.554500,6.592913 
15/04/2014 20:00,735704.833333,6.083333,1,1,1,2.858190,4.133937,5.598973,7.858031,11.276659,10.893081,7.685672,6.604158 
15/04/2014 21:00,735704.875000,6.125000,1,1,1,1.564216,2.651146,3.933155,6.006237,9.594207,10.537771,7.795881,6.616559 
15/04/2014 22:00,735704.916667,6.166667,1,1,1,0.645975,1.618256,2.775800,4.684791,8.205258,10.051589,7.879293,6.629836 
15/04/2014 23:00,735704.958333,6.208333,1,1,1,-0.032996,0.842573,1.896730,3.664389,7.063137,9.500920,7.933824,6.643672 
16/04/2014 00:00,735705.000000,6.250000,1,1,1,-0.655379,0.176099,1.173496,2.843564,6.113925,8.929116,7.959806,6.657754 
16/04/2014 01:00,735705.041667,6.291667,1,1,1,-1.262253,-0.436959,0.508771,2.110260,5.295172,8.361062,7.958946,6.671781 
16/04/2014 02:00,735705.083333,6.333333,1,1,1,-1.930816,-1.116047,-0.136285,1.423183,4.561926,7.808592,7.933552,6.685481 
16/04/2014 03:00,735705.125000,6.375000,1,1,1,-2.393375,-1.630334,-0.710757,0.813582,3.899515,7.277259,7.886097,6.698609 
16/04/2014 04:00,735705.166667,6.416667,1,1,1,-2.744567,-2.046639,-1.196420,0.262770,3.290731,6.769210,7.819040,6.710951 
16/04/2014 05:00,735705.208333,6.458333,1,1,1,-3.083525,-2.396026,-1.554743,-0.086627,2.762094,6.287548,7.734768,6.722321 
16/04/2014 06:00,735705.250000,6.500000,1,1,1,-3.163936,-2.527143,-1.731171,-0.320518,2.342434,5.840738,7.635806,6.732561 
16/04/2014 07:00,735705.291667,6.541667,1,1,1,-1.998982,-1.723198,-1.296937,-0.385855,2.000287,5.431259,7.524736,6.741542 
16/04/2014 08:00,735705.333333,6.583333,1,1,1,0.654467,0.279996,0.059865,0.160503,1.878816,5.074161,7.404343,6.749165 
16/04/2014 09:00,735705.375000,6.625000,1,1,1,7.366879,5.933879,4.561230,3.030412,2.432560,4.825334,7.278856,6.755372 
16/04/2014 10:00,735705.416667,6.666667,1,1,1,15.460432,13.202420,10.832735,7.645519,4.076368,4.807432,7.156773,6.760175 
16/04/2014 11:00,735705.458333,6.708333,1,1,1,22.372237,19.765679,16.882017,12.640826,6.562452,5.109703,7.050880,6.763710 
16/04/2014 12:00,735705.500000,6.750000,1,1,1,28.361610,25.518500,22.301174,17.372536,9.473460,5.744959,6.974948,6.766258 
16/04/2014 13:00,735705.541667,6.791667,1,1,1,32.031220,29.411231,26.330230,21.344919,12.466149,6.671254,6.940788,6.768235 
16/04/2014 14:00,735705.583333,6.833333,1,1,1,32.702356,30.652237,28.130526,23.784775,15.102670,7.797675,6.956214,6.770152 
16/04/2014 15:00,735705.625000,6.875000,1,1,1,30.443926,29.231067,27.586830,24.417900,17.008994,8.994129,7.023298,6.772564 
16/04/2014 16:00,735705.666667,6.916667,1,1,1,27.096683,26.516771,25.611223,23.604035,18.010831,10.121687,7.137813,6.775997 
16/04/2014 17:00,735705.708333,6.958333,1,1,1,22.068066,22.291631,22.278864,21.614446,18.150959,11.070740,7.290376,6.780890 
16/04/2014 18:00,735705.750000,7.000000,1,1,1,15.387084,16.492957,17.474335,18.337426,17.406748,11.756094,7.468104,6.787555 
16/04/2014 19:00,735705.791667,7.041667,1,1,1,10.129393,11.464455,12.843329,14.602523,15.895165,12.115787,7.655743,6.796140 
16/04/2014 20:00,735705.833333,7.083333,1,1,1,7.206726,8.381690,9.694471,11.620965,14.094297,12.154346,7.838018,6.806628 
16/04/2014 21:00,735705.875000,7.125000,1,1,1,5.415495,6.456007,7.654190,9.515575,12.407130,11.942119,8.002846,6.818855 
16/04/2014 22:00,735705.916667,7.166667,1,1,1,4.771111,5.568502,6.530846,8.128916,10.986321,11.566537,8.142704,6.832561 
16/04/2014 23:00,735705.958333,7.208333,1,1,1,4.523188,5.169735,5.958867,7.301627,9.889191,11.108120,8.254305,6.847435 
17/04/2014 00:00,735706.000000,7.250000,1,1,1,3.649513,4.363045,5.194614,6.539437,9.021042,10.623574,8.337561,6.863158 
17/04/2014 01:00,735706.041667,7.291667,1,1,1,2.710810,3.437591,4.290007,5.674796,8.228800,10.134774,8.393916,6.879426 
17/04/2014 02:00,735706.083333,7.333333,1,1,1,1.603510,2.387609,3.299805,4.768422,7.459578,9.646196,8.425124,6.895954 
17/04/2014 03:00,735706.125000,7.375000,1,1,1,0.828907,1.569557,2.451448,3.912719,6.700645,9.157250,8.432848,6.912480 
17/04/2014 04:00,735706.166667,7.416667,1,1,1,0.205593,0.917688,1.770031,3.196650,5.991596,8.671547,8.418704,6.928763 
17/04/2014 05:00,735706.208333,7.458333,1,1,1,-0.117083,0.517225,1.293395,2.627859,5.352587,8.195913,8.384464,6.944581 
17/04/2014 06:00,735706.250000,7.500000,1,1,1,-0.156452,0.382670,1.058440,2.254454,4.812649,7.739599,8.332145,6.959738 
17/04/2014 07:00,735706.291667,7.541667,1,1,1,1.319329,1.451351,1.724451,2.419619,4.451667,7.317327,8.264158,6.974060 
17/04/2014 08:00,735706.333333,7.583333,1,1,1,4.374731,4.016193,3.737185,3.614025,4.496442,6.967535,8.184015,6.987411 
17/04/2014 09:00,735706.375000,7.625000,1,1,1,8.501662,7.605970,6.722318,5.675625,5.065750,6.745578,8.097273,6.999706 
17/04/2014 10:00,735706.416667,7.666667,1,1,1,12.867359,11.576724,10.209233,8.339660,6.156672,6.700391,8.011466,7.010935 
17/04/2014 11:00,735706.458333,7.708333,1,1,1,17.929156,16.156319,14.236118,11.487907,7.696285,6.861574,7.935280,7.021177 
17/04/2014 12:00,735706.500000,7.750000,1,1,1,14.082083,14.010664,13.631866,12.458411,9.174245,7.214546,7.877196,7.030604 
17/04/2014 13:00,735706.541667,7.791667,1,1,1,12.770898,12.558034,12.262378,11.631985,9.758858,7.614800,7.840760,7.039451 
17/04/2014 14:00,735706.583333,7.833333,1,1,1,12.771038,12.479398,12.120498,11.480808,9.995336,7.969500,7.823584,7.047944 
17/04/2014 15:00,735706.625000,7.875000,1,1,1,13.525524,13.079113,12.570302,11.761438,10.216137,8.274491,7.822078,7.056268 
17/04/2014 16:00,735706.666667,7.916667,1,1,1,12.696086,12.564411,12.338986,11.823724,10.446665,8.546494,7.833484,7.064576 
17/04/2014 17:00,735706.708333,7.958333,1,1,1,10.447511,10.728813,10.945518,11.045237,10.434797,8.771942,7.855238,7.072989 
17/04/2014 18:00,735706.750000,8.000000,1,1,1,8.532685,8.948375,9.363977,9.859841,10.089677,8.914433,7.883562,7.081594 
17/04/2014 19:00,735706.791667,8.041667,1,1,1,6.666835,7.231161,7.826684,8.634339,9.533024,8.955418,7.913720,7.090428 
17/04/2014 20:00,735706.833333,8.083333,1,1,1,5.093091,5.706810,6.389978,7.400861,8.841617,8.894278,7.941015,7.099475 
17/04/2014 21:00,735706.875000,8.125000,1,1,1,3.989140,4.590717,5.281040,6.356733,8.113037,8.742925,7.961380,7.108675 
17/04/2014 22:00,735706.916667,8.166667,1,1,1,2.981722,3.601989,4.318100,5.451356,7.409275,8.522302,7.971835,7.117931 
17/04/2014 23:00,735706.958333,8.208333,1,1,1,2.303994,2.880590,3.563198,4.682073,6.747091,8.252304,7.970518,7.127121 
18/04/2014 00:00,735707.000000,8.250000,1,1,1,1.494038,2.106311,2.822239,3.983377,6.137037,7.950796,7.956520,7.136113 
18/04/2014 01:00,735707.041667,8.291667,1,1,1,0.820509,1.421097,2.133441,3.309789,5.553331,7.628841,7.929606,7.144771 
