Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,3.298135,3.827346,3.991609,3.999930,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,2.736803,3.476725,3.953454,3.999350,3.999999,4.000000,4.000000,4.000000,4.000000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,2.401604,3.159080,3.887294,3.997684,3.999993,4.000000,4.000000,4.000000,4.000000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,2.127791,2.895563,3.802510,3.994535,3.999979,4.000000,4.000000,4.000000,4.000000 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,1.893030,2.666863,3.705746,3.989665,3.999951,4.000000,4.000000,4.000000,4.000000 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,1.702311,2.469699,3.601897,3.982954,3.999902,4.000000,4.000000,4.000000,4.000000 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,1.488330,2.286726,3.494182,3.974358,3.999826,4.000000,4.000000,4.000000,4.000000 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,1.297374,2.108050,3.383489,3.963868,3.999717,4.000000,4.000000,4.000000,4.000000 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,1.159935,1.950661,3.271711,3.951500,3.999569,3.999999,4.000000,4.000000,4.000000 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,1.048444,1.817260,3.161381,3.937319,3.999375,3.999999,4.000000,4.000000,4.000000 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.946900,1.699789,3.054098,3.921426,3.999129,3.999998,4.000000,4.000000,4.000000 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.895904,1.602552,2.951027,3.903941,3.998825,3.999997,4.000000,4.000000,4.000000 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,1.466268,1.652764,2.859217,3.885054,3.998460,3.999996,4.000000,4.000000,4.000000 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,4.448189,2.501666,2.829556,3.865540,3.998028,3.999994,4.000000,4.000000,4.000000 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,9.992457,4.774626,2.977761,3.847986,3.997535,3.999992,4.000000,4.000000,4.000000 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,15.883617,8.130169,3.407093,3.837181,3.996996,3.999989,4.000000,4.000000,4.000000 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,20.801391,11.764838,4.134700,3.838762,3.996447,3.999986,4.000000,4.000000,4.000000 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,24.560195,15.102654,5.105715,3.857584,3.995942,3.999983,4.000000,4.000000,4.000000 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,24.737430,17.317403,6.209682,3.896660,3.995547,3.999979,4.000000,4.000000,4.000000 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,21.049015,17.533617,7.253345,3.955705,3.995334,3.999975,4.000000,4.000000,4.000000 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,17.363141,16.260895,8.062414,4.030664,3.995363,3.999970,4.000000,4.000000,4.000000 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,16.015733,14.966071,8.617126,4.116026,3.995676,3.999966,4.000000,4.000000,4.000000 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,14.149137,13.892105,8.984595,4.207380,3.996299,3.999963,4.000000,4.000000,4.000000 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,11.720352,12.567661,9.178955,4.301159,3.997242,3.999960,4.000000,4.000000,4.000000 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,9.429121,11.079688,9.203835,4.393952,3.998507,3.999958,4.000000,4.000000,4.000000 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,7.860772,9.700320,9.084169,4.482755,4.000082,3.999958,4.000000,4.000000,4.000000 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,6.973377,8.630639,8.866407,4.565418,4.001947,3.999959,4.000000,4.000000,4.000000 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,6.335827,7.843500,8.595712,4.640781,4.004076,3.999962,4.000000,4.000000,4.000000 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,5.731078,7.207470,8.299310,4.708383,4.006442,3.999967,4.000000,4.000000,4.000000 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,5.183762,6.652146,7.990647,4.768125,4.009017,3.999974,4.000000,4.000000,4.000000 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,4.720717,6.162500,7.678127,4.820101,4.011773,3.999984,4.000000,4.000000,4.000000 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,4.295221,5.724254,7.367792,4.864538,4.014682,3.999996,4.000000,4.000000,4.000000 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,3.947884,5.331437,7.063472,4.901743,4.017718,4.000011,4.000000,4.000000,4.000000 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,3.634877,4.982818,6.768717,4.932086,4.020855,4.000029,4.000000,4.000000,4.000000 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,3.414319,4.679316,6.485964,4.955981,4.024071,4.000050,4.000000,4.000000,4.000000 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,3.285460,4.435411,6.218783,4.973888,4.027342,4.000073,4.000000,4.000000,4.000000 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,4.030790,4.419864,5.978261,4.986387,4.030650,4.000099,4.000000,4.000000,4.000000 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,5.528302,4.918042,5.805765,4.994630,4.033977,4.000129,4.000000,4.000000,4.000000 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,7.842943,5.856669,5.735046,5.000495,4.037312,4.000161,4.000000,4.000000,4.000000 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,10.625096,7.315941,5.804257,5.006508,4.040652,4.000196,4.000000,4.000000,4.000000 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,10.645576,8.416952,5.998331,5.015379,4.044004,4.000234,4.000000,4.000000,4.000000 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,12.295484,9.239531,6.245218,5.028490,4.047380,4.000275,4.000000,4.000000,4.000000 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,15.780000,10.802731,6.584518,5.047098,4.050798,4.000319,4.000000,4.000000,4.000000 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,15.770115,12.117575,7.032330,5.073256,4.054281,4.000366,4.000000,4.000000,4.000000 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,15.132311,12.512177,7.483535,5.107607,4.057858,4.000416,4.000000,4.000000,4.000000 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,14.564891,12.554150,7.885643,5.149240,4.061556,4.000469,4.000000,4.000000,4.000000 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,14.141740,12.446135,8.223982,5.196775,4.065396,4.000526,4.000000,4.000000,4.000000 
11/04/2014 18:00,735700.750000,2.000000,1,1,1,11.571429,11.808566,8.477887,5.248628,4.069396,4.000586,4.000000,4.000000,4.000000 
11/04/2014 19:00,735700.791667,2.041667,1,1,1,9.148727,10.525338,8.585328,5.302249,4.073564,4.000649,4.000001,4.000000,4.000000 
11/04/2014 20:00,735700.833333,2.083333,1,1,1,7.720601,9.288938,8.550062,5.354675,4.077901,4.000716,4.000001,4.000000,4.000000 
11/04/2014 21:00,735700.875000,2.125000,1,1,1,6.887879,8.335459,8.415882,5.403671,4.082395,4.000787,4.000001,4.000000,4.000000 
11/04/2014 22:00,735700.916667,2.166667,1,1,1,6.267746,7.620626,8.223807,5.447930,4.087032,4.000862,4.000001,4.000000,4.000000 
11/04/2014 23:00,735700.958333,2.208333,1,1,1,5.811726,7.066742,8.000554,5.486803,4.091791,4.000941,4.000001,4.000000,4.000000 
12/04/2014 00:00,735701.000000,2.250000,1,1,1,5.411399,6.621937,7.763505,5.520062,4.096654,4.001024,4.000001,4.000000,4.000000 
12/04/2014 01:00,735701.041667,2.291667,1,1,1,5.002365,6.226468,7.521363,5.547717,4.101599,4.001111,4.000001,4.000000,4.000000 
12/04/2014 02:00,735701.083333,2.333333,1,1,1,4.647419,5.863288,7.278052,5.569879,4.106606,4.001202,4.000002,4.000000,4.000000 
12/04/2014 03:00,735701.125000,2.375000,1,1,1,4.415320,5.554050,7.037980,5.586735,4.111656,4.001298,4.000002,4.000000,4.000000 
12/04/2014 04:00,735701.166667,2.416667,1,1,1,4.242564,5.304222,6.806575,5.598566,4.116732,4.001398,4.000002,4.000000,4.000000 
12/04/2014 05:00,735701.208333,2.458333,1,1,1,4.048578,5.083845,6.586517,5.605724,4.121815,4.001503,4.000002,4.000000,4.000000 
12/04/2014 06:00,735701.250000,2.500000,1,1,1,3.866973,4.873814,6.377324,5.608562,4.126889,4.001611,4.000002,4.000000,4.000000 
12/04/2014 07:00,735701.291667,2.541667,1,1,1,4.469520,4.840562,6.185889,5.607465,4.131941,4.001724,4.000003,4.000000,4.000000 
12/04/2014 08:00,735701.333333,2.583333,1,1,1,6.394416,5.399036,6.055374,5.603366,4.136958,4.001841,4.000003,4.000000,4.000000 
12/04/2014 09:00,735701.375000,2.625000,1,1,1,8.043413,6.320932,6.026712,5.598105,4.141934,4.001963,4.000003,4.000000,4.000000 
12/04/2014 10:00,735701.416667,2.666667,1,1,1,9.284633,7.252196,6.096413,5.593716,4.146868,4.002088,4.000003,4.000000,4.000000 
12/04/2014 11:00,735701.458333,2.708333,1,1,1,12.502322,8.613230,6.269404,5.592063,4.151769,4.002218,4.000004,4.000000,4.000000 
12/04/2014 12:00,735701.500000,2.750000,1,1,1,14.672905,10.316088,6.584112,5.595618,4.156650,4.002352,4.000004,4.000000,4.000000 
12/04/2014 13:00,735701.541667,2.791667,1,1,1,17.542126,12.074056,7.022898,5.606791,4.161536,4.002489,4.000005,4.000000,4.000000 
12/04/2014 14:00,735701.583333,2.833333,1,1,1,20.085788,13.998935,7.588721,5.627813,4.166459,4.002631,4.000005,4.000000,4.000000 
12/04/2014 15:00,735701.625000,2.875000,1,1,1,18.493501,14.957710,8.217711,5.660289,4.171456,4.002777,4.000005,4.000000,4.000000 
12/04/2014 16:00,735701.666667,2.916667,1,1,1,18.183686,15.054343,8.783117,5.703446,4.176568,4.002927,4.000006,4.000000,4.000000 
12/04/2014 17:00,735701.708333,2.958333,1,1,1,17.022224,14.959236,9.270609,5.755492,4.181827,4.003082,4.000006,4.000000,4.000000 
12/04/2014 18:00,735701.750000,3.000000,1,1,1,13.219343,13.902004,9.624031,5.814085,4.187261,4.003241,4.000007,4.000000,4.000000 
12/04/2014 19:00,735701.791667,3.041667,1,1,1,9.860474,12.061217,9.764020,5.875385,4.192884,4.003404,4.000007,4.000000,4.000000 
12/04/2014 20:00,735701.833333,3.083333,1,1,1,7.692247,10.263288,9.700118,5.935153,4.198695,4.003572,4.000008,4.000000,4.000000 
12/04/2014 21:00,735701.875000,3.125000,1,1,1,6.278570,8.812747,9.489725,5.990135,4.204681,4.003745,4.000008,4.000000,4.000000 
12/04/2014 22:00,735701.916667,3.166667,1,1,1,5.255160,7.679605,9.187869,6.038303,4.210820,4.003923,4.000009,4.000000,4.000000 
12/04/2014 23:00,735701.958333,3.208333,1,1,1,4.437640,6.778428,8.834121,6.078578,4.217082,4.004107,4.000009,4.000000,4.000000 
13/04/2014 00:00,735702.000000,3.250000,1,1,1,3.844373,6.053299,8.454794,6.110508,4.223440,4.004295,4.000010,4.000000,4.000000 
13/04/2014 01:00,735702.041667,3.291667,1,1,1,3.349130,5.464872,8.068787,6.134076,4.229862,4.004489,4.000011,4.000000,4.000000 
13/04/2014 02:00,735702.083333,3.333333,1,1,1,2.880063,4.952720,7.686350,6.149529,4.236319,4.004688,4.000011,4.000000,4.000000 
13/04/2014 03:00,735702.125000,3.375000,1,1,1,2.546255,4.510535,7.313254,6.157239,4.242782,4.004893,4.000012,4.000000,4.000000 
13/04/2014 04:00,735702.166667,3.416667,1,1,1,2.277827,4.142518,6.955537,6.157685,4.249226,4.005102,4.000013,4.000000,4.000000 
13/04/2014 05:00,735702.208333,3.458333,1,1,1,2.044745,3.823857,6.616341,6.151417,4.255625,4.005317,4.000014,4.000000,4.000000 
13/04/2014 06:00,735702.250000,3.500000,1,1,1,1.829577,3.537686,6.296511,6.139002,4.261957,4.005537,4.000015,4.000000,4.000000 
13/04/2014 07:00,735702.291667,3.541667,1,1,1,2.277317,3.411582,6.001850,6.121039,4.268202,4.005763,4.000015,4.000000,4.000000 
13/04/2014 08:00,735702.333333,3.583333,1,1,1,5.710658,4.199017,5.786624,6.098711,4.274343,4.005993,4.000016,4.000000,4.000000 
13/04/2014 09:00,735702.375000,3.625000,1,1,1,11.058076,6.385452,5.771610,6.075154,4.280370,4.006228,4.000017,4.000000,4.000000 
13/04/2014 10:00,735702.416667,3.666667,1,1,1,16.292942,9.408331,6.035634,6.055401,4.286289,4.006468,4.000018,4.000000,4.000000 
13/04/2014 11:00,735702.458333,3.708333,1,1,1,20.581977,12.583455,6.577423,6.044883,4.292127,4.006713,4.000019,4.000000,4.000000 
13/04/2014 12:00,735702.500000,3.750000,1,1,1,23.464095,15.392515,7.338034,6.048091,4.297926,4.006962,4.000020,4.000000,4.000000 
13/04/2014 13:00,735702.541667,3.791667,1,1,1,24.975723,17.530478,8.227869,6.067814,4.303744,4.007216,4.000021,4.000000,4.000000 
13/04/2014 14:00,735702.583333,3.833333,1,1,1,25.499514,18.957082,9.157177,6.104965,4.309640,4.007475,4.000022,4.000000,4.000000 
13/04/2014 15:00,735702.625000,3.875000,1,1,1,24.998254,19.694110,10.051675,6.158872,4.315677,4.007738,4.000023,4.000000,4.000000 
13/04/2014 16:00,735702.666667,3.916667,1,1,1,20.158595,18.980336,10.810669,6.227264,4.321908,4.008006,4.000025,4.000000,4.000000 
13/04/2014 17:00,735702.708333,3.958333,1,1,1,14.716906,16.687292,11.280209,6.305139,4.328374,4.008280,4.000026,4.000000,4.000000 
13/04/2014 18:00,735702.750000,4.000000,1,1,1,11.181589,14.115420,11.427832,6.385991,4.335095,4.008559,4.000027,4.000000,4.000000 
13/04/2014 19:00,735702.791667,4.041667,1,1,1,8.858404,11.965314,11.325932,6.464288,4.342067,4.008843,4.000028,4.000000,4.000000 
13/04/2014 20:00,735702.833333,4.083333,1,1,1,7.042822,10.207255,11.052855,6.536232,4.349271,4.009133,4.000030,4.000000,4.000000 
13/04/2014 21:00,735702.875000,4.125000,1,1,1,5.979052,8.851679,10.672022,6.599458,4.356678,4.009429,4.000031,4.000000,4.000000 
13/04/2014 22:00,735702.916667,4.166667,1,1,1,5.035443,7.817075,10.236492,6.652797,4.364252,4.009731,4.000033,4.000000,4.000000 
13/04/2014 23:00,735702.958333,4.208333,1,1,1,4.225996,6.939118,9.773593,6.695828,4.371958,4.010039,4.000034,4.000000,4.000000 
14/04/2014 00:00,735703.000000,4.250000,1,1,1,3.518907,6.186788,9.300796,6.728538,4.379756,4.010353,4.000036,4.000000,4.000000 
14/04/2014 01:00,735703.041667,4.291667,1,1,1,2.787581,5.494416,8.827489,6.751154,4.387611,4.010674,4.000037,4.000000,4.000000 
14/04/2014 02:00,735703.083333,4.333333,1,1,1,2.244663,4.865393,8.358432,6.764012,4.395487,4.011001,4.000039,4.000000,4.000000 
14/04/2014 03:00,735703.125000,4.375000,1,1,1,1.737819,4.313630,7.900819,6.767562,4.403349,4.011334,4.000041,4.000000,4.000000 
14/04/2014 04:00,735703.166667,4.416667,1,1,1,1.507681,3.855157,7.459968,6.762354,4.411166,4.011673,4.000042,4.000000,4.000000 
14/04/2014 05:00,735703.208333,4.458333,1,1,1,0.821778,3.399363,7.039927,6.749035,4.418908,4.012019,4.000044,4.000000,4.000000 
14/04/2014 06:00,735703.250000,4.500000,1,1,1,0.071448,2.819895,6.625960,6.728073,4.426547,4.012371,4.000046,4.000000,4.000000 
14/04/2014 07:00,735703.291667,4.541667,1,1,1,0.422676,2.456499,6.223226,6.699801,4.434058,4.012728,4.000048,4.000000,4.000000 
14/04/2014 08:00,735703.333333,4.583333,1,1,1,1.795460,2.649124,5.876702,6.665161,4.441417,4.013092,4.000050,4.000000,4.000000 
14/04/2014 09:00,735703.375000,4.625000,1,1,1,4.219629,3.443343,5.635089,6.626029,4.448605,4.013461,4.000052,4.000000,4.000000 
14/04/2014 10:00,735703.416667,4.666667,1,1,1,7.314324,4.874671,5.547867,6.585200,4.455613,4.013836,4.000054,4.000000,4.000000 
14/04/2014 11:00,735703.458333,4.708333,1,1,1,12.080665,7.073138,5.659637,6.546261,4.462442,4.014216,4.000056,4.000000,4.000000 
14/04/2014 12:00,735703.500000,4.750000,1,1,1,15.953224,9.744270,6.010780,6.513618,4.469109,4.014602,4.000058,4.000000,4.000000 
14/04/2014 13:00,735703.541667,4.791667,1,1,1,20.330964,12.552582,6.581755,6.491536,4.475647,4.014992,4.000060,4.000000,4.000000 
14/04/2014 14:00,735703.583333,4.833333,1,1,1,19.037011,14.304241,7.302517,6.483363,4.482102,4.015387,4.000063,4.000000,4.000000 
14/04/2014 15:00,735703.625000,4.875000,1,1,1,15.508400,14.050628,7.959436,6.489029,4.488526,4.015788,4.000065,4.000000,4.000000 
14/04/2014 16:00,735703.666667,4.916667,1,1,1,16.691107,13.774221,8.471957,6.505513,4.494961,4.016193,4.000067,4.000000,4.000000 
14/04/2014 17:00,735703.708333,4.958333,1,1,1,11.729289,12.931151,8.876410,6.530361,4.501442,4.016603,4.000070,4.000000,4.000000 
14/04/2014 18:00,735703.750000,5.000000,1,1,1,7.168751,10.590756,9.027102,6.559468,4.507990,4.017018,4.000072,4.000000,4.000000 
14/04/2014 19:00,735703.791667,5.041667,1,1,1,4.532171,8.349462,8.924031,6.587546,4.514610,4.017439,4.000075,4.000000,4.000000 
14/04/2014 20:00,735703.833333,5.083333,1,1,1,3.038588,6.614921,8.644885,6.610604,4.521287,4.017864,4.000078,4.000000,4.000000 
14/04/2014 21:00,735703.875000,5.125000,1,1,1,2.067256,5.344044,8.264830,6.626306,4.527999,4.018294,4.000080,4.000000,4.000000 
14/04/2014 22:00,735703.916667,5.166667,1,1,1,1.286384,4.388073,7.835472,6.633567,4.534715,4.018730,4.000083,4.000000,4.000000 
14/04/2014 23:00,735703.958333,5.208333,1,1,1,0.670449,3.623089,7.386202,6.632049,4.541405,4.019171,4.000086,4.000000,4.000000 
15/04/2014 00:00,735704.000000,5.250000,1,1,1,0.274943,3.022998,6.936562,6.621862,4.548037,4.019616,4.000089,4.000000,4.000000 
15/04/2014 01:00,735704.041667,5.291667,1,1,1,0.009611,2.561395,6.501222,6.603432,4.554582,4.020067,4.000092,4.000000,4.000000 
15/04/2014 02:00,735704.083333,5.333333,1,1,1,-0.138296,2.205541,6.089181,6.577387,4.561012,4.020522,4.000095,4.000000,4.000000 
15/04/2014 03:00,735704.125000,5.375000,1,1,1,-0.163644,1.952912,5.707240,6.544483,4.567302,4.020983,4.000098,4.000000,4.000000 
15/04/2014 04:00,735704.166667,5.416667,1,1,1,-0.219728,1.749530,5.357797,6.505539,4.573430,4.021448,4.000101,4.000000,4.000000 
15/04/2014 05:00,735704.208333,5.458333,1,1,1,-0.331729,1.551816,5.037825,6.461327,4.579376,4.021917,4.000105,4.000000,4.000000 
15/04/2014 06:00,735704.250000,5.500000,1,1,1,-0.509941,1.335147,4.741721,6.412504,4.585125,4.022391,4.000108,4.000000,4.000000 
15/04/2014 07:00,735704.291667,5.541667,1,1,1,-0.623023,1.119951,4.464646,6.359599,4.590661,4.022868,4.000111,4.000000,4.000000 
15/04/2014 08:00,735704.333333,5.583333,1,1,1,-0.257271,1.072035,4.213232,6.303150,4.595973,4.023350,4.000115,4.000000,4.000000 
15/04/2014 09:00,735704.375000,5.625000,1,1,1,4.773954,2.232037,4.052691,6.244370,4.601050,4.023835,4.000118,4.000000,4.000000 
15/04/2014 10:00,735704.416667,5.666667,1,1,1,10.570982,5.022628,4.142088,6.187082,4.605893,4.024324,4.000122,4.000000,4.000000 
15/04/2014 11:00,735704.458333,5.708333,1,1,1,15.197141,8.179074,4.522494,6.136826,4.610519,4.024816,4.000126,4.000000,4.000000 
15/04/2014 12:00,735704.500000,5.750000,1,1,1,18.746819,11.160792,5.151535,6.098611,4.614966,4.025312,4.000130,4.000000,4.000000 
15/04/2014 13:00,735704.541667,5.791667,1,1,1,21.085986,13.656405,5.955439,6.076043,4.619287,4.025810,4.000133,4.000000,4.000000 
15/04/2014 14:00,735704.583333,5.833333,1,1,1,21.684197,15.374100,6.843494,6.070970,4.623544,4.026311,4.000137,4.000000,4.000000 
15/04/2014 15:00,735704.625000,5.875000,1,1,1,20.543079,16.078408,7.710155,6.083224,4.627798,4.026815,4.000141,4.000000,4.000000 
15/04/2014 16:00,735704.666667,5.916667,1,1,1,17.902733,15.728448,8.454659,6.110625,4.632109,4.027323,4.000145,4.000000,4.000000 
15/04/2014 17:00,735704.708333,5.958333,1,1,1,14.209202,14.424405,8.995425,6.149331,4.636522,4.027833,4.000150,4.000000,4.000000 
15/04/2014 18:00,735704.750000,6.000000,1,1,1,9.787371,12.338703,9.278200,6.194369,4.641067,4.028346,4.000154,4.000000,4.000000 
15/04/2014 19:00,735704.791667,6.041667,1,1,1,6.278224,9.942843,9.287957,6.240294,4.645755,4.028862,4.000158,4.000000,4.000000 
15/04/2014 20:00,735704.833333,6.083333,1,1,1,4.263427,7.915961,9.079861,6.282370,4.650577,4.029382,4.000163,4.000000,4.000000 
15/04/2014 21:00,735704.875000,6.125000,1,1,1,2.855983,6.357021,8.732691,6.317455,4.655512,4.029905,4.000167,4.000000,4.000000 
15/04/2014 22:00,735704.916667,6.166667,1,1,1,1.782742,5.144114,8.305363,6.343801,4.660529,4.030431,4.000172,4.000000,4.000000 
15/04/2014 23:00,735704.958333,6.208333,1,1,1,0.919160,4.169457,7.836529,6.360598,4.665595,4.030961,4.000176,4.000000,4.000000 
16/04/2014 00:00,735705.000000,6.250000,1,1,1,0.172987,3.352408,7.350241,6.367622,4.670675,4.031495,4.000181,4.000000,4.000000 
16/04/2014 01:00,735705.041667,6.291667,1,1,1,-0.243904,2.686574,6.862704,6.365013,4.675734,4.032032,4.000186,4.000000,4.000000 
16/04/2014 02:00,735705.083333,6.333333,1,1,1,-0.320510,2.239417,6.394005,6.353258,4.680738,4.032573,4.000191,4.000000,4.000000 
16/04/2014 03:00,735705.125000,6.375000,1,1,1,-0.461627,1.899858,5.956252,6.333154,4.685657,4.033117,4.000196,4.000000,4.000000 
16/04/2014 04:00,735705.166667,6.416667,1,1,1,-0.669613,1.588922,5.549795,6.305555,4.690463,4.033664,4.000201,4.000000,4.000000 
16/04/2014 05:00,735705.208333,6.458333,1,1,1,-0.948906,1.271521,5.170261,6.271230,4.695131,4.034215,4.000206,4.000000,4.000000 
16/04/2014 06:00,735705.250000,6.500000,1,1,1,-1.262675,0.934938,4.811754,6.230820,4.699640,4.034769,4.000211,4.000000,4.000000 
16/04/2014 07:00,735705.291667,6.541667,1,1,1,-1.289302,0.660634,4.473040,6.184875,4.703970,4.035326,4.000216,4.000000,4.000000 
16/04/2014 08:00,735705.333333,6.583333,1,1,1,-0.433526,0.732832,4.174189,6.134134,4.708103,4.035885,4.000221,4.000000,4.000000 
16/04/2014 09:00,735705.375000,6.625000,1,1,1,5.445446,2.214004,3.997379,6.080331,4.712026,4.036447,4.000227,4.000000,4.000000 
16/04/2014 10:00,735705.416667,6.666667,1,1,1,12.201843,5.524889,4.118250,6.028112,4.715738,4.037012,4.000232,4.000000,4.000000 
16/04/2014 11:00,735705.458333,6.708333,1,1,1,17.397533,9.189539,4.577744,5.983960,4.719260,4.037578,4.000238,4.000000,4.000000 
16/04/2014 12:00,735705.500000,6.750000,1,1,1,21.240220,12.553887,5.317013,5.953572,4.722634,4.038147,4.000244,4.000000,4.000000 
16/04/2014 13:00,735705.541667,6.791667,1,1,1,23.404442,15.232487,6.241340,5.940847,4.725920,4.038718,4.000250,4.000000,4.000000 
16/04/2014 14:00,735705.583333,6.833333,1,1,1,24.139698,17.039376,7.242330,5.947526,4.729187,4.039291,4.000255,4.000000,4.000000 
16/04/2014 15:00,735705.625000,6.875000,1,1,1,23.322107,17.908682,8.219533,5.973283,4.732504,4.039866,4.000261,4.000000,4.000000 
16/04/2014 16:00,735705.666667,6.916667,1,1,1,20.808206,17.722046,9.076337,6.015911,4.735934,4.040443,4.000267,4.000000,4.000000 
16/04/2014 17:00,735705.708333,6.958333,1,1,1,17.379269,16.582562,9.729435,6.071530,4.739530,4.041022,4.000274,4.000000,4.000000 
16/04/2014 18:00,735705.750000,7.000000,1,1,1,13.366087,14.724366,10.129193,6.135181,4.743326,4.041603,4.000280,4.000000,4.000000 
16/04/2014 19:00,735705.791667,7.041667,1,1,1,9.644608,12.491428,10.261556,6.201523,4.747339,4.042187,4.000286,4.000000,4.000000 
16/04/2014 20:00,735705.833333,7.083333,1,1,1,7.027880,10.334142,10.155707,6.265604,4.751567,4.042773,4.000293,4.000000,4.000000 
16/04/2014 21:00,735705.875000,7.125000,1,1,1,5.346346,8.600271,9.879842,6.323678,4.755992,4.043363,4.000299,4.000000,4.000000 
16/04/2014 22:00,735705.916667,7.166667,1,1,1,4.240079,7.277558,9.500785,6.373460,4.760586,4.043955,4.000306,4.000000,4.000000 
16/04/2014 23:00,735705.958333,7.208333,1,1,1,3.436246,6.277637,9.069114,6.413830,4.765315,4.044551,4.000312,4.000000,4.000000 
17/04/2014 00:00,735706.000000,7.250000,1,1,1,2.735711,5.476744,8.616276,6.444447,4.770144,4.045149,4.000319,4.000000,4.000000 
17/04/2014 01:00,735706.041667,7.291667,1,1,1,2.037122,4.775490,8.158167,6.465391,4.775038,4.045751,4.000326,4.000000,4.000000 
17/04/2014 02:00,735706.083333,7.333333,1,1,1,1.284352,4.104923,7.700445,6.476915,4.779962,4.046357,4.000333,4.000000,4.000000 
17/04/2014 03:00,735706.125000,7.375000,1,1,1,0.588120,3.451305,7.244149,6.479308,4.784883,4.046965,4.000340,4.000000,4.000000 
17/04/2014 04:00,735706.166667,7.416667,1,1,1,-0.021961,2.839523,6.792055,6.472886,4.789768,4.047577,4.000347,4.000000,4.000000 
17/04/2014 05:00,735706.208333,7.458333,1,1,1,-0.354725,2.315625,6.349467,6.458037,4.794589,4.048192,4.000354,4.000000,4.000000 
17/04/2014 06:00,735706.250000,7.500000,1,1,1,-0.401087,1.960439,5.929410,6.435334,4.799314,4.048811,4.000361,4.000000,4.000000 
17/04/2014 07:00,735706.291667,7.541667,1,1,1,0.026743,1.792406,5.544427,6.405586,4.803920,4.049432,4.000369,4.000000,4.000000 
17/04/2014 08:00,735706.333333,7.583333,1,1,1,2.661516,2.403296,5.242211,6.370152,4.808383,4.050057,4.000376,4.000000,4.000000 
17/04/2014 09:00,735706.375000,7.625000,1,1,1,5.853037,3.781023,5.094259,6.331713,4.812689,4.050684,4.000384,4.000000,4.000000 
17/04/2014 10:00,735706.416667,7.666667,1,1,1,9.106556,5.621020,5.134819,6.293816,4.816837,4.051314,4.000392,4.000000,4.000000 
17/04/2014 11:00,735706.458333,7.708333,1,1,1,12.465906,7.714267,5.367211,6.260172,4.820835,4.051946,4.000399,4.000000,4.000000 
17/04/2014 12:00,735706.500000,7.750000,1,1,1,10.861208,8.835614,5.728181,6.233833,4.824709,4.052581,4.000407,4.000000,4.000000 
